batsman,out,run,ball,minutes,4s,6s,sr,match_id,batting_position
Rahul Tripathi ,c Holder b Boult,0,2,6,0,0,0.00,1359478,3
Harry Brook , b Chahal,13,21,28,1,0,61.90,1359478,4
Washington Sundar ,c Hetmyer b Holder,1,5,10,0,0,20.00,1359478,5
Glenn Phillips †,c Asif b Ashwin,8,6,6,0,1,133.33,1359478,6
Abdul Samad ,not out ,32,32,51,2,1,100.00,1359478,7
Adil Rashid ,st †Samson b Chahal,18,13,17,1,1,138.46,1359478,8
Bhuvneshwar Kumar (c), b Chahal,6,10,20,0,0,60.00,1359478,9
Umran Malik ,not out ,19,8,12,1,2,237.50,1359478,10
Extras,"(lb 1, nb 3, w 3)",7,,,,,,1359478,11
TOTAL,20 Ov (RR: 6.55),131/8,,,,,,1359478,12
Prithvi Shaw , b Wood,12,9,24,2,0,133.33,1359477,1
David Warner (c),c Gowtham b Avesh Khan,56,48,87,7,0,116.66,1359477,2
Mitchell Marsh , b Wood,0,1,2,0,0,0.00,1359477,3
Sarfaraz Khan †,c Gowtham b Wood,4,9,16,1,0,44.44,1359477,4
Rilee Rossouw ,c Mayers b Ravi Bishnoi,30,20,24,3,1,150.00,1359477,5
Rovman Powell ,lbw b Ravi Bishnoi,1,3,11,0,0,33.33,1359477,6
Aman Hakim Khan ,c †Pooran b Avesh Khan,4,5,11,0,0,80.00,1359477,7
Axar Patel ,c sub (PN Mankad) b Wood,16,11,21,1,1,145.45,1359477,8
Kuldeep Yadav ,not out ,6,10,22,0,0,60.00,1359477,9
Chetan Sakariya ,c Pandya b Wood,4,4,5,1,0,100.00,1359477,10
Mukesh Kumar ,not out ,0,1,1,0,0,0.00,1359477,11
Extras,"(nb 1, w 9)",10,,,,,,1359477,12
TOTAL,20 Ov (RR: 7.15),143/9,,,,,,1359477,13
Mandeep Singh ,c Curran b Arshdeep Singh,2,4,7,0,0,50.00,1359476,1
Rahmanullah Gurbaz †, b Ellis,22,16,26,3,1,137.50,1359476,2
Anukul Roy ,c Sikandar Raza b Arshdeep Singh,4,5,5,1,0,80.00,1359476,3
Venkatesh Iyer ,c Chahar b Arshdeep Singh,34,28,66,3,1,121.42,1359476,4
Nitish Rana (c),c Chahar b Sikandar Raza,24,17,23,3,1,141.17,1359476,5
Rinku Singh ,c Sikandar Raza b Chahar,4,4,5,0,0,100.00,1359476,6
Andre Russell ,c Sikandar Raza b Curran,35,19,24,3,2,184.21,1359476,7
Shardul Thakur ,not out ,8,3,8,0,1,266.66,1359476,8
Sunil Narine ,not out ,7,2,4,0,1,350.00,1359476,9
Extras,"(b 1, lb 2, nb 2, w 1)",6,,,,,,1359476,10
TOTAL,16 Ov (RR: 9.12),146/7,,,,,,1359476,11
Wriddhiman Saha †,c Dube b Hangargekar,25,16,-,2,2,156.25,1359475,1
Shubman Gill ,c Gaikwad b Deshpande,63,36,-,6,3,175.00,1359475,2
Sai Sudharsan ,c †Dhoni b Hangargekar,22,17,-,3,0,129.41,1359475,3
Hardik Pandya (c), b Jadeja,8,11,-,0,0,72.72,1359475,4
Vijay Shankar ,c Santner b Hangargekar,27,21,-,2,1,128.57,1359475,5
Rahul Tewatia ,not out ,15,14,-,1,1,107.14,1359475,6
Rashid Khan ,not out ,10,3,-,1,1,333.33,1359475,7
Extras,"(lb 6, nb 2, w 4)",12,,,,,,1359475,8
TOTAL,19.2 Ov (RR: 9.41),182/5,,,,,,1359475,9
